generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,myrcia_reticulata,myrcia_decorticans,0,0.1,0.0001,0.01,0
0,myrcia_neoobscura,myrcia_excoriata,12.2923,0.1,0.0001,0.01,0
10000,myrcia_reticulata,myrcia_decorticans,0,0.198815,0,0.0236286,0
10000,myrcia_reticulata,myrcia_variabilis,9.86105,0.286472,0.0506939,0.0212486,0
20000,myrcia_reticulata,myrcia_decorticans,0,0.250828,0,0.0191211,0
30000,myrcia_reticulata,myrcia_decorticans,0,0.228344,0,0.0179885,0
40000,myrcia_reticulata,myrcia_decorticans,0,0.193443,0.00971065,0.0324117,0
50000,myrcia_reticulata,myrcia_decorticans,0,0.225025,0.000934746,0.0425118,0
50000,myrcia_reticulata,myrcia_multipunctata,7.19933,0.320812,0.0231363,0.15223,0
60000,myrcia_reticulata,myrcia_decorticans,0,0.262467,0.00325708,0.0889733,0
70000,myrcia_reticulata,myrcia_decorticans,0,0.331453,0,0.123256,0
80000,myrcia_reticulata,myrcia_decorticans,0,0.204872,0.0283684,0.0984398,0
90000,myrcia_reticulata,myrcia_decorticans,0,0.18282,0.0151739,0.0186363,0
90000,myrcia_reticulata,myrcia_mischophylla,18.3402,0.576091,-0.00884597,0.0450759,0
100000,myrcia_reticulata,myrcia_decorticans,0,0.359429,-0.00950037,0.116699,0
110000,myrcia_reticulata,myrcia_decorticans,0,0.312581,0,0.116836,0
120000,myrcia_reticulata,myrcia_decorticans,0,0.201776,0,0.0144489,0
120000,myrcia_reticulata,myrcia_variabilis,9.42782,0.43455,0.0147701,0.129381,0
130000,myrcia_reticulata,myrcia_decorticans,0,0.218955,0,0.00835192,0
140000,myrcia_reticulata,myrcia_decorticans,0,0.142981,0.0197929,0.0080736,0
140000,myrcia_reticulata,myrcia_variabilis,9.6861,0.33494,0.0347563,0.0416545,0
150000,myrcia_reticulata,myrcia_decorticans,0,0.187579,0.0107232,0.00932718,0
150000,myrcia_tetraphylla,NA,24.6961,0.444617,0.0230841,0.701732,0
160000,myrcia_reticulata,myrcia_decorticans,0,0.217236,-0.00216464,0.00909559,0
160000,myrcia_reticulata,myrcia_variabilis,9.77694,0.366211,0,0.0210954,0
170000,myrcia_reticulata,myrcia_decorticans,0,0.214853,-0.0117366,0.012093,0
170000,myrcia_reticulata,myrcia_variabilis,7.39431,0.356838,-0.000864905,0.0360944,0
180000,myrcia_reticulata,myrcia_decorticans,0,0.278312,0,0.102257,0
180000,myrcia_reticulata,myrcia_variabilis,7.70291,0.315695,0,0.0295334,0
190000,myrcia_reticulata,myrcia_decorticans,0,0.290226,0.00744459,0.111816,0
200000,myrcia_reticulata,myrcia_decorticans,0,0.192197,0.0121159,0.0311133,0
210000,myrcia_reticulata,myrcia_decorticans,0,0.278062,0.00350325,0.0770974,0
220000,myrcia_reticulata,myrcia_decorticans,0,0.163001,0.0403676,0.0370998,0
230000,myrcia_reticulata,myrcia_decorticans,0,0.254181,0,0.0489351,0
240000,myrcia_reticulata,myrcia_decorticans,0,0.253741,-0.000462587,0.0162524,0
250000,myrcia_reticulata,myrcia_decorticans,0,0.225846,0.000491033,0.00894332,0
260000,myrcia_reticulata,myrcia_decorticans,0,0.235035,0,0.0101126,0
270000,myrcia_reticulata,myrcia_decorticans,0,0.143596,0.0576038,0.0310435,0
270000,myrcia_maximiliana,NA,27.4664,0.38954,0.0512921,0.350466,0
270000,myrcia_longicalyptrata,NA,20.9428,0.00600609,0,0.200024,0
280000,myrcia_reticulata,myrcia_decorticans,0,0.30695,0,0.12265,0
290000,myrcia_reticulata,myrcia_decorticans,0,0.281276,0,0.0980431,0
300000,myrcia_reticulata,myrcia_decorticans,0,0.266828,-0.00205354,0.0475383,0
300000,myrcia_tijucensis,NA,24.759,0.00285133,0,0.129069,0
300000,myrcia_reticulata,myrcia_mischophylla,18.1955,0.870176,-0.0488976,0.059282,0
310000,myrcia_reticulata,myrcia_decorticans,0,0.401444,0.00366856,0.244965,0
320000,myrcia_reticulata,myrcia_decorticans,0,0.398654,0,0.233782,0
330000,myrcia_reticulata,myrcia_decorticans,0,0.241281,0.000616089,0.0426842,0
340000,myrcia_reticulata,myrcia_decorticans,0,0.230799,0.00688178,0.0768328,0
350000,myrcia_reticulata,myrcia_decorticans,0,0.305968,0,0.106067,0
360000,myrcia_reticulata,myrcia_decorticans,0,0.264337,3.25409e-005,0.0492088,0
370000,myrcia_reticulata,myrcia_decorticans,0,0.189221,0.0521273,0.088484,0
380000,myrcia_reticulata,myrcia_decorticans,0,0.310715,-0.0136428,0.0626392,0
380000,myrcia_reticulata,myrcia_variabilis,8.48682,0.364468,0.00496706,0.0330949,0
390000,myrcia_reticulata,myrcia_decorticans,0,0.567091,-0.0476244,0.0524936,0
390000,myrcia_reticulata,myrcia_variabilis,7.58691,0.445259,-0.00615962,0.0657563,0
400000,myrcia_reticulata,myrcia_decorticans,0,0.308232,-0.0171213,0.0382843,0
400000,myrcia_reticulata,myrcia_multipunctata,7.12505,0.482309,-3.70641e-006,0.280229,0
410000,myrcia_reticulata,myrcia_decorticans,0,0.248837,0,0.0607914,0
420000,myrcia_reticulata,myrcia_decorticans,0,0.262262,0,0.0521134,0
420000,myrcia_neolucida,NA,26.1961,0.00130715,0,0.304862,0
430000,myrcia_reticulata,myrcia_decorticans,0,0.233991,-0.00882527,0.0128854,0
430000,myrcia_reticulata,myrcia_variabilis,8.78584,0.439862,-0.00782964,0.054392,0
440000,myrcia_reticulata,myrcia_decorticans,0,0.221567,0.000503048,0.0169252,0
440000,myrcia_reticulata,myrcia_mischophylla,16.7004,0.489328,-0.0310654,0.0202849,0
440000,myrcia_neospeciosa,NA,8.81018,0.0581929,0.00563096,0.0409205,0
450000,myrcia_reticulata,myrcia_decorticans,0,0.202999,0.0255623,0.0478519,0
450000,myrcia_bracteata,NA,20.1444,0.206277,-0.0148924,0.0828837,0
460000,myrcia_reticulata,myrcia_decorticans,0,0.292903,0,0.106491,0
470000,myrcia_reticulata,myrcia_decorticans,0,0.265549,0,0.0819525,0
480000,myrcia_reticulata,myrcia_decorticans,0,0.334504,-0.000217728,0.116781,0
490000,myrcia_reticulata,myrcia_decorticans,0,0.221006,0,0.0214665,0
490000,myrcia_reticulata,myrcia_anacardiifolia,19.368,1.14272,-0.0729373,0.31019,0
500000,myrcia_reticulata,myrcia_decorticans,0,0.246686,-0.00677603,0.0115567,0
500000,myrcia_variabilis,myrcia_vestita,21.4483,0.755344,-0.0177471,0.0978643,0
510000,myrcia_reticulata,myrcia_decorticans,0,0.254984,-0.00409122,0.0241014,0
510000,myrcia_reticulata,myrcia_cerqueiria,15.0143,0.595198,-0.0220422,0.0984282,0
520000,myrcia_reticulata,myrcia_decorticans,0,0.155363,0.0226832,0.0334013,0
520000,myrcia_reticulata,myrcia_cerqueiria,15.7321,0.98102,-0.0769924,0.305052,0
530000,myrcia_reticulata,myrcia_decorticans,0,0.219265,0,0.0359612,0
540000,myrcia_reticulata,myrcia_decorticans,0,0.281652,0,0.111684,0
550000,myrcia_reticulata,myrcia_decorticans,0,0.28494,0,0.0802826,0
560000,myrcia_reticulata,myrcia_decorticans,0,0.383422,-0.00658006,0.161649,0
570000,myrcia_reticulata,myrcia_decorticans,0,0.416024,-0.0165885,0.121329,0
580000,myrcia_reticulata,myrcia_decorticans,0,0.174295,0.0305733,0.0285005,0
590000,myrcia_reticulata,myrcia_decorticans,0,0.254373,0.000725817,0.03304,0
600000,myrcia_reticulata,myrcia_decorticans,0,0.351639,-0.00999771,0.0875633,0
610000,myrcia_reticulata,myrcia_decorticans,0,0.322582,0,0.146781,0
620000,myrcia_reticulata,myrcia_decorticans,0,0.267254,0.00788604,0.124779,0
630000,myrcia_reticulata,myrcia_decorticans,0,0.239172,0.00298054,0.0572168,0
640000,myrcia_reticulata,myrcia_decorticans,0,0.193366,0.0286127,0.0345377,0
640000,myrcia_decorticans,myrcia_saxatilis,5.95886,0.854527,-0.0645414,0.341993,0
650000,myrcia_reticulata,myrcia_decorticans,0,0.19843,0,0.0157142,0
650000,myrcia_reticulata,myrcia_multipunctata,6.99182,0.317228,0.0193625,0.151292,0
660000,myrcia_reticulata,myrcia_decorticans,0,0.204226,0.00240658,0.0258564,0
660000,myrcia_reticulata,myrcia_variabilis,8.68323,0.432494,0,0.118783,0
660000,myrcia_plusiantha,NA,24.5875,0.301042,0.0887923,0.421016,0
670000,myrcia_reticulata,myrcia_decorticans,0,0.209293,0.00667915,0.025081,0
670000,myrcia_tomentosa,myrcia_selloi,16.4398,0.301762,0,0.143369,0
