generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,1,2.14481,-365.88,2,0
10000,1,-1.28748,-296.155,1.93106,0.499
20000,0,-2.59554,-305.946,2.64714,0.522
30000,0,-2.13963,-305.225,1.80331,0.47
40000,0,0.61536,-305.569,0.832139,0.428
50000,1,1.57785,-298.219,1.321,0.483
60000,0,0.652843,-305.383,0.444612,0.411
70000,0,-1.65093,-306.521,0.225952,0.42
80000,0,0.655128,-306.02,0.113403,0.403
90000,1,2.05786,-298.934,0.258115,0.482
100000,0,0.355343,-306.051,0.633953,0.395
110000,0,-2.00975,-305.644,1.01641,0.4
120000,1,-0.236013,-296.743,0.485973,0.462
130000,0,-1.50444,-305.343,0.587713,0.451
140000,1,2.09155,-297.409,0.283625,0.477
150000,1,0.723777,-306.335,1.22849,0.504
160000,1,-1.20226,-295.404,3.02295,0.51
170000,1,1.3062,-297.412,2.44477,0.518
180000,1,-2.55226,-299.63,0.867672,0.475
190000,0,0.446934,-307.317,0.684485,0.423
200000,0,0.750587,-305.099,0.538258,0.42
210000,0,0.241455,-306.2,1.25571,0.44
220000,0,0.158736,-305.153,0.920201,0.504
230000,0,-1.5135,-305.151,0.387564,0.423
240000,0,0.946767,-306.236,0.0973558,0.421
250000,0,0.186388,-305.195,1.71946,0.48
260000,0,-1.58568,-305.388,0.698828,0.476
270000,2,-2.24987,-306.831,4.3308,0.509
280000,0,-2.50043,-305.638,1.99725,0.443
290000,0,-2.01571,-305.634,1.17258,0.421
300000,2,-0.149996,-300.564,1.4785,0.523
310000,0,0.32053,-308.741,0.258293,0.389
320000,0,-1.97753,-307.29,0.367451,0.35
330000,0,0.909085,-305.204,0.132394,0.399
340000,0,0.906333,-305.823,0.0422376,0.405
350000,0,-1.49979,-305.603,0.046545,0.388
360000,0,0.47711,-305.372,0.911396,0.388
370000,0,-0.67052,-307.286,1.71811,0.409
380000,1,1.45352,-296.103,1.6729,0.509
390000,1,0.385106,-299.615,1.54676,0.488
400000,1,1.57539,-299.183,0.407357,0.474
410000,0,-1.4221,-305.714,0.186003,0.422
420000,1,-2.37944,-306.944,0.825085,0.432
430000,1,1.72961,-295.439,1.24843,0.504
440000,2,2.46672,-297.615,3.12093,0.565
450000,1,1.91498,-308.307,1.0256,0.454
460000,0,-1.85702,-305.514,0.797397,0.41
470000,0,-1.53177,-305.734,0.296295,0.402
480000,0,0.530087,-307.133,0.408837,0.381
490000,1,-3.84526,-298.14,2.08082,0.511
500000,1,0.793475,-303.329,1.92462,0.46
510000,1,0.640075,-300.078,2.54786,0.502
520000,1,-0.713601,-302.2,0.330019,0.435
530000,0,-1.37736,-306.956,0.253172,0.466
540000,0,-1.61516,-306.496,0.331111,0.408
550000,0,-1.78682,-305.374,0.755384,0.411
560000,0,0.26864,-306.084,0.636367,0.424
570000,0,0.400754,-306.926,0.258528,0.417
580000,0,0.745846,-305.284,0.145242,0.419
590000,0,0.9079,-305.643,0.12475,0.396
600000,0,0.68387,-306.012,0.0775361,0.383
610000,0,-1.71542,-305.998,0.312749,0.396
620000,0,0.699069,-305.987,0.205069,0.399
630000,0,0.461734,-305.241,0.986345,0.439
640000,1,-1.18731,-301.595,2.27672,0.466
650000,1,-1.63067,-297.615,3.46415,0.503
660000,2,-1.77884,-297.876,1.14985,0.497
670000,1,-0.847251,-305.48,2.0999,0.48
680000,1,-0.701214,-296.804,1.95811,0.53
690000,1,-0.488205,-295.978,1.6155,0.485
700000,1,-1.20103,-301.082,0.994465,0.469
710000,0,0.3803,-306.269,0.800838,0.429
720000,0,0.385775,-309.615,0.167972,0.353
730000,0,0.558853,-308.391,0.476908,0.442
740000,0,0.871427,-305.173,0.0660331,0.415
750000,0,-0.281939,-310.32,0.0424949,0.355
760000,0,0.465897,-307.628,0.00437326,0.406
770000,0,0.233598,-309.369,0.013066,0.382
780000,0,0.663993,-305.823,0.0314144,0.391
790000,0,-1.54552,-305.718,0.0288095,0.404
800000,0,-1.64267,-307.002,0.28659,0.368
810000,0,0.569424,-306.164,0.401943,0.431
820000,0,0.889709,-305.03,0.204985,0.444
830000,0,0.596869,-305.364,0.432232,0.459
840000,1,-0.0529541,-298.387,0.95725,0.49
850000,0,0.60484,-305.533,0.548416,0.428
860000,1,0.461684,-299.217,1.2186,0.471
870000,1,-1.54299,-298.529,2.02857,0.463
880000,0,0.158241,-306.147,1.11937,0.439
890000,1,0.984142,-301.063,0.816733,0.478
900000,0,0.251109,-305.917,0.774508,0.398
910000,0,-1.5888,-306.923,0.489146,0.416
920000,0,0.6459,-305.002,0.8627,0.457
930000,1,-1.84401,-301.155,3.18655,0.482
940000,0,0.854877,-305.292,0.266485,0.413
950000,1,-0.329965,-295.13,1.18319,0.514
960000,0,-1.47484,-305.409,0.472546,0.448
970000,1,-0.329009,-299.409,3.76169,0.535
980000,0,0.910154,-304.981,0.333448,0.406
990000,1,2.01237,-296.819,0.480128,0.472
1000000,0,-1.77174,-305.246,0.957179,0.405
1010000,0,-1.81038,-305.311,0.827544,0.442
1020000,0,0.154579,-306.082,1.2329,0.482
1030000,0,-1.8272,-305.177,1.01328,0.417
1040000,1,1.36758,-296.43,1.49728,0.52
1050000,1,-0.400507,-296.363,0.453173,0.451
1060000,1,1.53052,-297.851,0.589082,0.468
1070000,1,1.50417,-296.444,1.96774,0.496
1080000,1,1.83141,-298.113,0.514983,0.476
1090000,2,0.522863,-301.061,1.13643,0.491
1100000,0,0.537779,-305.668,0.743643,0.45
1110000,0,-1.94718,-305.452,0.992096,0.382
1120000,2,-0.188764,-300.714,2.00497,0.471
1130000,1,-0.695634,-298.107,1.72676,0.504
1140000,1,0.991427,-298.086,0.542821,0.473
1150000,1,1.09959,-295.495,0.596936,0.516
1160000,1,-1.17443,-297.183,2.56958,0.484
1170000,1,-2.03158,-297.454,3.45281,0.512
1180000,1,0.594652,-297.582,2.01153,0.485
1190000,0,-0.415053,-305.196,3.01898,0.557
1200000,1,1.38516,-296.934,0.755639,0.51
1210000,1,1.34307,-297.257,1.11064,0.475
1220000,1,-1.01156,-297.053,2.01386,0.477
1230000,1,0.775779,-296.762,0.963042,0.504
1240000,1,1.1461,-296.185,1.47081,0.476
1250000,1,-0.591792,-298.904,0.709248,0.49
1260000,2,-2.87046,-305.43,1.28773,0.458
1270000,2,0.682913,-295.681,3.89961,0.516
1280000,3,1.34848,-302.427,1.68396,0.514
1290000,1,0.911214,-299.601,0.597023,0.466
1300000,1,1.30247,-298.669,1.48668,0.495
1310000,0,0.842025,-305.835,0.212601,0.395
1320000,1,1.19182,-298.835,0.988451,0.461
1330000,0,-0.0115743,-306.385,0.878092,0.53
1340000,0,0.643685,-306.87,0.542229,0.439
1350000,0,-0.65014,-306.285,1.35975,0.482
1360000,0,0.812809,-304.77,0.383913,0.413
1370000,0,-1.29829,-305.401,0.128832,0.391
1380000,0,0.682241,-306.699,0.0798607,0.403
1390000,0,0.772173,-304.906,0.535075,0.48
1400000,0,0.805409,-305.069,0.408561,0.43
1410000,0,-1.30694,-305.283,0.161871,0.424
1420000,0,0.694033,-305.11,0.363454,0.429
1430000,1,1.42876,-304.651,1.30489,0.466
1440000,1,1.704,-311.618,0.481393,0.385
1450000,1,-0.93395,-297.805,0.98377,0.491
1460000,1,1.12695,-295.542,1.46198,0.498
1470000,2,3.0474,-299.7,1.49206,0.438
1480000,1,0.109011,-297.788,0.399164,0.499
1490000,1,1.80611,-298.955,0.487353,0.49
1500000,1,1.33115,-297.971,1.28002,0.502
1510000,2,-1.07314,-298.71,2.35919,0.492
1520000,2,1.54728,-299.53,2.94955,0.494
1530000,1,-1.99423,-298.936,1.45516,0.474
1540000,0,0.596927,-306.381,0.95169,0.502
1550000,1,1.77029,-297.657,1.21568,0.459
1560000,0,0.775951,-304.795,0.536184,0.44
1570000,0,-1.73851,-305.161,0.952817,0.432
1580000,2,-0.967904,-299.474,1.48363,0.481
1590000,1,1.5052,-296.472,1.92232,0.513
1600000,1,-1.02285,-299.227,4.93088,0.543
1610000,0,0.655099,-304.822,0.627162,0.447
1620000,0,-1.57002,-306.189,0.665096,0.449
1630000,1,-0.409696,-298.107,0.764938,0.488
1640000,1,2.12247,-296.053,1.02182,0.471
1650000,0,-1.49051,-306.019,0.528689,0.469
1660000,0,0.478626,-304.96,0.866743,0.428
1670000,0,0.878135,-304.774,0.156904,0.42
1680000,0,0.751179,-304.781,0.0296541,0.431
1690000,0,-1.19781,-305.494,0.0204931,0.425
1700000,0,1.08132,-305.579,0.0413598,0.415
1710000,0,0.763507,-305.889,0.0474684,0.409
1720000,0,1.04436,-306.053,0.0688908,0.43
1730000,0,-1.24504,-305.213,0.0334341,0.414
1740000,1,-1.82769,-303.594,0.156218,0.422
1750000,0,-1.51842,-305.347,0.274896,0.423
1760000,0,0.45156,-306.463,0.116265,0.402
1770000,0,0.696883,-305.486,0.190972,0.397
1780000,0,0.472597,-307.822,0.0530799,0.366
1790000,0,0.278065,-308.076,0.0217047,0.396
1800000,0,-1.51199,-306.307,0.148335,0.364
1810000,0,0.450397,-305.916,0.936895,0.483
1820000,1,0.192797,-298.578,2.14668,0.472
1830000,1,-0.0167799,-307.02,0.949919,0.431
1840000,0,-1.80433,-306.906,0.8639,0.418
